Day,DATE,SLEEP_SCORE,HOURS_OF_SLEEP,min,Minutes_of_sleep,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SLEEP_TIME
Wednesday,12/1/2021,91,7,33,453,0.23,0.19,0.98,10:56pm - 7:20am
Thursday,12/2/2021,81,7,17,437,0.16,0.13,0.94,10:45pm - 6:58am
Friday,12/3/2021,80,7,17,437,0.15,0.17,0.78,10:51pm - 7:02am
Saturday,12/4/2021,85,8,23,503,0.2,0.15,0.58,9:53pm - 7:17am
Sunday,12/5/2021,82,7,19,439,0.2,0.12,0.79,11:54pm - 8:16am
Monday,12/6/2021,80,7,18,438,0.18,0.16,0.56,11:28pm - 7:47am
Tuesday,12/7/2021,89,8,2,482,0.21,0.11,0.94,10:09pm - 7:18am
Wednesday,12/8/2021,85,6,47,407,0.22,0.16,0.94,11:40pm - 7:33
Thursday,12/9/2021,85,7,32,452,0.12,0.14,0.96,10:47pm - 7:27am
Friday,12/10/2021,87,7,45,465,0.2,0.13,0.75,10:27pm - 7:07am
Saturday,12/11/2021,78,7,57,477,0.13,0.1,0.45,11:44pm - 9:05am
Sunday,12/12/2021,85,6,47,407,0.24,0.17,0.74,12:21am - 8:18am
Monday,12/13/2021,87,8,33,513,0.21,0.15,0.83,10:13pm - 7:47am
Tuesday,12/14/2021,83,7,33,453,0.12,0.2,0.76,11:19pm - 7:54am
Wednesday,12/15/2021,79,7,8,428,0.26,0.19,0.31,11:00pm - 6:58am
Thursday,12/16/2021,74,6,34,394,0.16,0.23,0,12:38am - 8:18am
Friday,12/17/2021,84,7,18,438,0.21,0.16,0.79,11:54pm - 8:10am
Saturday,12/18/2021,87,8,14,494,0.16,0.18,0.99,10:44pm - 8:16am
Sunday,12/19/2021,83,7,8,428,0.29,0.17,0.65,11:57pm - 7:57am
Monday,12/20/2021,85,7,6,426,0.23,0.14,0.98,12:42am - 8:51am
Tuesday,12/21/2021,91,8,26,506,0.21,0.19,0.96,10:25pm - 8:01am
Wednesday,12/22/2021,88,7,29,449,0.22,0.16,0.9,11:01pm - 7:42am
Thursday,12/23/2021,89,8,37,517,0.2,0.19,0.95,11:24pm - 9:18am
Friday,12/24/2021,78,9,3,543,0.12,0.18,0.52,11:20pm - 9:56am
Saturday,12/25/2021,75,6,39,399,0.16,0.14,0.5,01:19am - 9:06am
Sunday,12/26/2021,91,7,51,471,0.21,0.27,0.83,12:14am - 9:08am
Monday,12/27/2021,83,7,6,426,0.2,0.16,0.9,12:00am - 8:09am
Tuesday,12/28/2021,85,6,57,417,0.2,0.18,0.99,11:16pm - 7:02
Wednesday,12/29/2021,91,7,23,443,0.26,0.16,0.98,10:51pm - 7:09am
Thursday,12/30/2021,87,7,48,468,0.22,0.21,0.6,11:34pm - 8:18am
Friday,12/31/2021,89,8,9,489,0.23,0.19,0.7,10:28pm - 7:29am
Day,DATE,SLEEP_SCORE,HOURS_OF_SLEEP,min,Minutes_of_sleep,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SLEEP_TIME
Tuesday,2/1/2022,87,7,30,450,0.18,0.17,0.98,10:18pm - 7:11am
Wednesday,2/2/2022,90,7,27,447,0.2,0.18,0.88,10:21pm - 6:50am
Thursday,2/3/2022,66,5,39,339,0.16,0,0.13,11:00pm - 5:29am
Friday,2/4/2022,87,9,13,553,0.18,0.19,0.96,11:09pm - 9:56am
Saturday,2/5/2022,85,6,50,410,0.23,0.19,0.93,12:41am - 8:20am
Sunday,2/6/2022,78,6,43,403,0.17,0.18,0.7,12:12am - 8:05am
Monday,2/7/2022,87,8,16,496,0.19,0.15,0.79,10:33pm - 7:47am
Tuesday,2/8/2022,83,6,41,401,0.23,0.15,0.94,12:12am - 7:52am
Wednesday,2/9/2022,81,7,18,438,0.21,0.13,0.89,11:13pm - 7:45am
Thursday,2/10/2022,83,6,35,395,0.2,0.21,0.85,10:24pm - 5:58am
Friday,2/11/2022,86,8,51,531,0.23,0.21,0.42,9:49pm - 7:44am
Saturday,2/12/2022,84,8,49,529,0.24,0.18,0.35,10:43pm - 8:53am
Sunday,2/13/2022,89,8,4,484,0.24,0.16,0.97,10:47pm - 8:08am
Monday,2/14/2022,78,6,42,402,0.17,0.19,0.52,12:48am - 8:36am
Tuesday,2/15/2022,81,7,7,427,0.15,0.2,0.98,12:16am - 8:29am
Wednesday,2/16/2022,85,6,49,409,0.18,0.15,0.98,11:17pm - 7:10am
Thursday,2/17/2022,89,8,1,481,0.22,0.14,0.89,10:23pm - 7:33am
Friday,2/18/2022,80,6,54,414,0.13,0.15,0.77,11:06pm - 7:02am
Saturday,2/19/2022,88,8,18,498,0.23,0.2,0.71,10:20pm - 7:47am
Sunday,2/20/2022,85,8,4,484,0.17,0.21,0.76,10:12pm - 7:33am
Monday,2/21/2022,83,8,12,492,0.22,0.13,0.4,11:40pm - 8:53am
